,Show,Location,City,State,Date,Corps,GE1_Rep,GE1_Perf,GE1_Tot,GE2_Rep,GE2_Perf,GE2_Tot,GE1.2_TOTAL,GE3_Rep,GE3_Perf,GE3_Tot,GE4_Rep,GE4_Perf,GE4_Tot,GE3.4_TOTAL,Ge_TOTAL,VisP_Cont,VisP_Achv,VisP_Tot,VisA_Comp,VisA_Achv,VisA_Tot,CG_Sbst,CG_Achv,CG_Tot,Vis_TOTAL,MusB_Cont,MusB_Achv,MusB_Tot,MusA1_Cont,MusA1_Achv,MusA1_Tot,MusA2_Cont,MusA2_Achv,MusA2_Tot,MusA_TOTAL,MusP_Cont,MusP_Achv,MusP_Tot,Mus_TOTAL,Sub_TOTAL,Penalties,TOTAL,Place,year,month,day,Start,Season_Day
1,DCI Tour Premiere,"Indianapolis, IN",Indianapolis,IN,6/17/2015,The Cadets,75,70,14.5,72,70,14.2,NA,NA,NA,NA,NA,NA,NA,NA,28.7,69,66,13.5,71,68,13.9,70,66,13.6,20.5,70,67,13.7,74,72,14.6,NA,NA,NA,NA,66,64,13,20.65,69.85,0,69.85,1,2015,6,17,6/17/2015,0
2,DCI Tour Premiere,"Indianapolis, IN",Indianapolis,IN,6/17/2015,Bluecoats,67,64,13.1,73,71,14.4,NA,NA,NA,NA,NA,NA,NA,NA,27.5,68,65,13.3,73,69,14.2,71,67,13.8,20.65,69,69,13.8,71,69,14,NA,NA,NA,NA,62,62,12.4,20.1,68.25,0,68.25,2,2015,6,17,6/17/2015,0
3,DCI Tour Premiere,"Indianapolis, IN",Indianapolis,IN,6/17/2015,Carolina Crown,68,65,13.3,71,69,14,NA,NA,NA,NA,NA,NA,NA,NA,27.3,71,67,13.8,69,67,13.6,73,68,14.1,20.75,71,68,13.9,72,70,14.2,NA,NA,NA,NA,60,60,12,20.05,68.1,0,68.1,3,2015,6,17,6/17/2015,0
4,DCI Tour Premiere,"Indianapolis, IN",Indianapolis,IN,6/17/2015,The Cavaliers,65,61,12.6,67,63,13,NA,NA,NA,NA,NA,NA,NA,NA,25.6,67,63,13,62,61,12.3,58,54,11.2,18.25,68,60,12.8,69,67,13.6,NA,NA,NA,NA,63,58,12.1,19.25,63.1,0,63.1,4,2015,6,17,6/17/2015,0
5,DCI Tour Premiere,"Indianapolis, IN",Indianapolis,IN,6/17/2015,Madison Scouts,61,58,11.9,62,59,12.1,NA,NA,NA,NA,NA,NA,NA,NA,24,62,58,12,65,63,12.8,63,58,12.1,18.45,63,61,12.4,68,66,13.4,NA,NA,NA,NA,62,61,12.3,19.05,61.5,0,61.5,5,2015,6,17,6/17/2015,0
6,DCI Tour Premiere,"Indianapolis, IN",Indianapolis,IN,6/17/2015,Blue Stars,59,55,11.4,63,60,12.3,NA,NA,NA,NA,NA,NA,NA,NA,23.7,64,61,12.5,64,62,12.6,60,56,11.6,18.35,65,62,12.7,65,64,12.9,NA,NA,NA,NA,64,58,12.2,18.9,60.95,0,60.95,6,2015,6,17,6/17/2015,0
7,MidCal Champions Showcase,"Clovis, CA",Clovis,CA,6/19/2015,Blue Devils,70,73,14.3,74,71,14.5,NA,NA,NA,NA,NA,NA,NA,NA,28.8,71,70,14.1,76,73,14.9,75,71,14.6,21.8,72,69,14.1,79,73,15.2,NA,NA,NA,NA,70,69,13.9,21.6,72.2,0,72.2,1,2015,6,19,6/19/2015,0
8,MidCal Champions Showcase,"Clovis, CA",Clovis,CA,6/19/2015,Santa Clara Vanguard,69,71,14,73,68,14.1,NA,NA,NA,NA,NA,NA,NA,NA,28.1,69,68,13.7,73,71,14.4,74,70,14.4,21.25,70,67,13.7,77,70,14.7,NA,NA,NA,NA,71,70,14.1,21.25,70.6,0,70.6,2,2015,6,19,6/19/2015,0
9,MidCal Champions Showcase,"Clovis, CA",Clovis,CA,6/19/2015,Phantom Regiment,66,65,13.1,68,62,13,NA,NA,NA,NA,NA,NA,NA,NA,26.1,68,64,13.2,71,66,13.7,71,67,13.8,20.35,68,65,13.3,75,68,14.3,NA,NA,NA,NA,68,66,13.4,20.5,66.95,0,66.95,3,2015,6,19,6/19/2015,0
10,MidCal Champions Showcase,"Clovis, CA",Clovis,CA,6/19/2015,Blue Knights,68,62,13,65,63,12.8,NA,NA,NA,NA,NA,NA,NA,NA,25.8,65,61,12.6,69,64,13.3,66,63,12.9,19.4,65,62,12.7,74,66,14,NA,NA,NA,NA,69,68,13.7,20.2,65.4,0,65.4,4,2015,6,19,6/19/2015,0
11,MidCal Champions Showcase,"Clovis, CA",Clovis,CA,6/19/2015,Pacific Crest,60,57,11.7,59,54,11.3,NA,NA,NA,NA,NA,NA,NA,NA,23,63,55,11.8,62,58,12,57,53,11,17.4,62,56,11.8,67,56,12.3,NA,NA,NA,NA,59,56,11.5,17.8,58.2,0,58.2,5,2015,6,19,6/19/2015,0
12,MidCal Champions Showcase,"Clovis, CA",Clovis,CA,6/19/2015,Mandarins,56,58,11.4,56,52,10.8,NA,NA,NA,NA,NA,NA,NA,NA,22.2,59,51,11,58,52,11,47,44,9.1,15.55,59,54,11.3,69,58,12.7,NA,NA,NA,NA,61,59,12,18,55.75,0,55.75,6,2015,6,19,6/19/2015,0
13,DCI Louisville,"Louisville, KY",Louisville,KY,6/19/2015,The Cadets,73,71,14.4,74,70,14.4,NA,NA,NA,NA,NA,NA,NA,NA,28.8,NA,NA,NA,68,65,13.3,NA,NA,NA,13.3,72,69,14.1,75,72,14.7,NA,NA,NA,NA,NA,NA,NA,28.8,70.9,0,70.9,1,2015,6,19,6/17/2015,2
